"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"255"	"NC_047559.1"	63069	63069	"+"	4.29559315288828e-08	3.50725241001756e-06	-53.7325676784249
"2020"	"NC_047559.1"	547858	547858	"+"	8.62690108796116e-19	8.7532768796744e-16	69.3333333333333
"2505"	"NC_047559.1"	610771	610771	"+"	4.8989612543551e-13	1.43255510881968e-10	54.3585386576041
"4321"	"NC_047559.1"	770335	770335	"+"	1.46189202640415e-21	2.49835265840051e-18	-50.8928571428571
"6353"	"NC_047559.1"	1006649	1006649	"+"	1.82404221926549e-14	7.38576812785821e-12	57.8947368421053
"7496"	"NC_047559.1"	1119597	1119597	"+"	8.46323901192833e-08	6.32965491357547e-06	50.2933004013584
"7878"	"NC_047559.1"	1155037	1155037	"+"	5.7240345392111e-14	2.07054679391515e-11	51.5894819466248
"7951"	"NC_047559.1"	1165521	1165521	"+"	4.1098713249329e-15	1.91360833367132e-12	-61.8460764587525
"8720"	"NC_047559.1"	1372495	1372495	"+"	1.64927959008793e-08	1.5140779466373e-06	-58.1395348837209
"11585"	"NC_047559.1"	1802451	1802451	"+"	1.19097162959534e-33	1.75583166908804e-29	70.873786407767
"17152"	"NC_047559.1"	2844907	2844907	"+"	8.46765119834712e-14	2.94960972858494e-11	-60.1826661484648
"18681"	"NC_047559.1"	3200945	3200945	"+"	1.06464379772559e-09	1.36083616707106e-07	-55.3256238587949
"19294"	"NC_047559.1"	3241777	3241777	"+"	1.68194295715199e-14	6.8593730498795e-12	52.7777777777778
"19932"	"NC_047559.1"	3283227	3283227	"+"	7.80321718196975e-12	1.72200874721417e-09	54.019404019404
"22889"	"NC_047559.1"	3595158	3595158	"+"	2.56227231859895e-23	5.99923733398625e-20	-55.4938811188811
"22890"	"NC_047559.1"	3595215	3595215	"+"	1.4537113507913e-24	4.35017235227561e-21	-56.5986198964922
"25620"	"NC_047559.1"	3835844	3835844	"+"	2.0723820748819e-11	4.11245770629894e-09	52.2522522522522
"26109"	"NC_047559.1"	3891462	3891462	"+"	1.82576458848538e-09	2.18742342497468e-07	-53.2258064516129
"35907"	"NC_047559.1"	4550532	4550532	"+"	3.23419111015499e-12	7.80337069037887e-10	-56.5522943365027
"40679"	"NC_047559.1"	4973046	4973046	"+"	8.44245316691802e-15	3.67444867946553e-12	-54.4642857142857
"41717"	"NC_047559.1"	5050623	5050623	"+"	3.04101809613872e-21	4.91772671018572e-18	-53.8247665217081
"44087"	"NC_047559.1"	5239631	5239631	"+"	6.33539110431971e-10	8.60422440048016e-08	52.6990553306343
"45358"	"NC_047559.1"	5434716	5434716	"+"	1.68962365550865e-08	1.54630042395471e-06	51.1538461538461
"45412"	"NC_047559.1"	5445201	5445201	"+"	2.37063178630838e-11	4.63669615195666e-09	50.7462686567164
"50935"	"NC_047559.1"	6315948	6315948	"+"	9.70363186941069e-16	5.20909797330133e-13	51.0863586358636
"55107"	"NC_047559.1"	6691762	6691762	"+"	3.1629770677214e-10	4.65150105339846e-08	55.3113553113553
"58109"	"NC_047559.1"	6929678	6929678	"+"	1.37893385820575e-22	2.82352996220554e-19	-54.4513457556936
"59330"	"NC_047559.1"	7059034	7059034	"+"	1.90147726178685e-14	7.66295041353402e-12	53.4798534798535
"61966"	"NC_047559.1"	7256713	7256713	"+"	1.29976501428013e-13	4.3356756838133e-11	-53.1806221947067
"70167"	"NC_047559.1"	8065426	8065426	"+"	1.32267217945114e-20	1.89503967044096e-17	-52.1125932890639
"72610"	"NC_047559.1"	8265939	8265939	"+"	5.02739617953767e-16	2.87057127438366e-13	-55.1851851851852
"72644"	"NC_047559.1"	8274629	8274629	"+"	3.8568316079646e-09	4.22003056400295e-07	51.0291595197256
"94412"	"NC_047559.1"	10080830	10080830	"+"	1.00315487149141e-17	8.29930544546069e-15	54.4303797468354
"94524"	"NC_047559.1"	10100108	10100108	"+"	1.39867710919761e-14	5.81077048442699e-12	-56.4791133844842
"95219"	"NC_047559.1"	10185618	10185618	"+"	6.01574033800868e-17	4.22799112412827e-14	-50.9938144329897
"95258"	"NC_047559.1"	10189223	10189223	"+"	2.36458160253632e-12	5.88365790264738e-10	-51.3026819923372
"95561"	"NC_047559.1"	10230453	10230453	"+"	1.85206490330926e-14	7.48416153361516e-12	-52.5350593311758
"95704"	"NC_047559.1"	10252626	10252626	"+"	5.18622216812777e-09	5.48045812424284e-07	-53.25
"95794"	"NC_047559.1"	10263140	10263140	"+"	1.91124124324594e-10	2.97457357255209e-08	-50.0785751702462
"97732"	"NC_047559.1"	10436792	10436792	"+"	7.62430061809546e-11	1.31159771549761e-08	-50.2152080344333
"103640"	"NC_047559.1"	10968355	10968355	"+"	1.1590357318687e-11	2.45298457148321e-09	-53.4863501999652
"112220"	"NC_047559.1"	11687463	11687463	"+"	6.18274590125609e-26	2.36143260448011e-22	-50.625
"128271"	"NC_047559.1"	13030685	13030685	"+"	1.69725021132631e-14	6.91542316036367e-12	-66.4351851851852
"132444"	"NC_047559.1"	13425196	13425196	"+"	6.33968765117192e-14	2.26930399700411e-11	53.8888888888889
"133446"	"NC_047559.1"	13558793	13558793	"+"	1.29477993314867e-07	9.15644542452276e-06	53.1976744186047
"133866"	"NC_047559.1"	13585607	13585607	"+"	3.72611613851435e-11	6.94453574746515e-09	-53.3968368080518
"137651"	"NC_047559.1"	14153289	14153289	"+"	1.06964543712556e-21	1.87139510754962e-18	52.3839877613462
"137687"	"NC_047559.1"	14156262	14156262	"+"	3.74432515668335e-11	6.97435578361117e-09	-52.86408793067
"137768"	"NC_047559.1"	14165598	14165598	"+"	2.19750203550775e-15	1.08728417028868e-12	-54.1666666666667
"138740"	"NC_047559.1"	14256570	14256570	"+"	8.15335657363312e-12	1.79105568311479e-09	-50.5108359133127
"144195"	"NC_047559.1"	14746721	14746721	"+"	1.09234360613669e-08	1.05617855095344e-06	-52.1212121212121
"157945"	"NC_047559.1"	16066861	16066861	"+"	1.00763696829829e-10	1.68168459910765e-08	-53.4670008354219
"159563"	"NC_047559.1"	16214058	16214058	"+"	1.63584401270504e-14	6.68925769107592e-12	55.1541130843029
"161979"	"NC_047559.1"	16433365	16433365	"+"	4.14040167769295e-15	1.92579628662596e-12	-50.5299298402747
"161999"	"NC_047559.1"	16434944	16434944	"+"	3.54986715365072e-12	8.49780700785806e-10	-53.4461152882206
"162000"	"NC_047559.1"	16435611	16435611	"+"	9.20300719269996e-23	1.94269494285118e-19	-60.4205318491033
"176104"	"NC_047559.1"	17844923	17844923	"+"	5.26543757529857e-12	1.20940318367733e-09	-53.7152944952656
"179215"	"NC_047559.1"	18131686	18131686	"+"	1.99289606958829e-14	7.9890244247375e-12	57.0645446507516
"181269"	"NC_047559.1"	18304262	18304262	"+"	3.51747132589187e-22	6.65409160565769e-19	-58.0048661800487
"181308"	"NC_047559.1"	18309254	18309254	"+"	1.15167616560991e-18	1.14003958414167e-15	-51.8858307849134
"184385"	"NC_047559.1"	18653810	18653810	"+"	5.28635075238918e-22	9.71769063088965e-19	55.0847457627119
"188674"	"NC_047559.1"	19099477	19099477	"+"	4.4276383496322e-15	2.04605611573679e-12	-51.5625
"197519"	"NC_047559.1"	20203391	20203391	"+"	1.70627736120313e-14	6.94772382333912e-12	-57.4175824175824
"198637"	"NC_047559.1"	20310396	20310396	"+"	2.65770165320603e-13	8.28666157777415e-11	-59.1919191919192
"198894"	"NC_047559.1"	20345589	20345589	"+"	1.99816142710888e-14	8.00795447757101e-12	-54.3859649122807
"199051"	"NC_047559.1"	20363306	20363306	"+"	3.31537476073396e-18	3.02027236657374e-15	-53.1595315291471
"200822"	"NC_047559.1"	20547073	20547073	"+"	2.25089044038288e-13	7.13594894971231e-11	53.0808729139923
"200959"	"NC_047559.1"	20561961	20561961	"+"	1.27882721786134e-08	1.21369631097718e-06	50.4761904761905
"210248"	"NC_047559.1"	21535569	21535569	"+"	1.39462404674881e-13	4.61940225053123e-11	-55.5555555555556
"213416"	"NC_047559.1"	21812750	21812750	"+"	3.70476070623529e-19	4.04383513689627e-16	58.5762711864407
"217055"	"NC_047559.1"	22087730	22087730	"+"	1.73442067966723e-16	1.09948279173866e-13	-51.294498381877
"217398"	"NC_047559.1"	22129515	22129515	"+"	3.42311676270653e-15	1.62341299680189e-12	53.7267080745342
"217972"	"NC_047559.1"	22200643	22200643	"+"	7.45327118907851e-13	2.08743280612053e-10	-59.281581485053
"218139"	"NC_047559.1"	22222947	22222947	"+"	2.46294560370912e-16	1.51022482341141e-13	55.9828564809452
"219565"	"NC_047559.1"	22369397	22369397	"+"	4.21906971644797e-18	3.76292281306583e-15	-51.668878228029
"219569"	"NC_047559.1"	22369470	22369470	"+"	2.95066953315536e-19	3.29555150129672e-16	-59.284332688588
"219570"	"NC_047559.1"	22369503	22369503	"+"	6.03696986511583e-16	3.38797655976009e-13	-51.2150747238467
"219576"	"NC_047559.1"	22369908	22369908	"+"	1.92857097131077e-15	9.6709637817737e-13	-57.2078161484577
"219622"	"NC_047559.1"	22377728	22377728	"+"	3.59805892741642e-16	2.12458101339259e-13	54.6711353162966
"220788"	"NC_047559.1"	22488523	22488523	"+"	7.67554715162894e-17	5.26159845943576e-14	-65.9781576448243
"224630"	"NC_047559.1"	22813895	22813895	"+"	8.04587765818091e-16	4.39982090120501e-13	-51.6348474873821
"225886"	"NC_047559.1"	22925736	22925736	"+"	3.28452299346345e-13	1.0008935815013e-10	51.1182795698925
"235488"	"NC_047559.1"	23956413	23956413	"+"	1.74133737728611e-19	2.0256925275265e-16	-59.3961593961594
"235932"	"NC_047559.1"	23988659	23988659	"+"	5.64171877543318e-16	3.18393581081082e-13	50.3523194362889
"235933"	"NC_047559.1"	23988664	23988664	"+"	8.43185493687146e-18	7.07913307600046e-15	53.4453057708872
"235934"	"NC_047559.1"	23988676	23988676	"+"	2.29175409419048e-18	2.15340905066843e-15	53.3198487380178
"239099"	"NC_047559.1"	24214744	24214744	"+"	4.79682846135526e-09	5.1172670520851e-07	-54.525939177102
"239544"	"NC_047559.1"	24250417	24250417	"+"	3.58989153806222e-22	6.78528644551247e-19	-52.4309099073356
"241019"	"NC_047559.1"	24357131	24357131	"+"	7.2911622192577e-16	4.02442959964765e-13	-55.1315789473684
"244492"	"NC_047559.1"	24628369	24628369	"+"	2.42890718286824e-13	7.63898502901298e-11	-53.4003474807645
"245787"	"NC_047559.1"	24752028	24752028	"+"	3.0681129167209e-11	5.83171559549152e-09	51.1727078891258
"245788"	"NC_047559.1"	24752056	24752056	"+"	2.2518237888167e-13	7.13780786833023e-11	53.6950252343187
"246738"	"NC_047559.1"	24845834	24845834	"+"	4.79877091996526e-09	5.11896885927101e-07	-55.6686046511628
"246742"	"NC_047559.1"	24846323	24846323	"+"	6.70810372828851e-17	4.66126804894875e-14	-61.7442184452494
"247815"	"NC_047559.1"	24950981	24950981	"+"	3.67784667888436e-15	1.73104002662409e-12	-57.2463768115942
"247913"	"NC_047559.1"	24961268	24961268	"+"	1.01965487028202e-10	1.6990490132217e-08	-57.9545454545455
"247914"	"NC_047559.1"	24961279	24961279	"+"	1.35349917274324e-17	1.09020775609888e-14	-75.5982473879339
"247986"	"NC_047559.1"	24971939	24971939	"+"	1.20901950264992e-18	1.19253303648026e-15	-58.0367074527252
"248666"	"NC_047559.1"	25024771	25024771	"+"	2.37939325264335e-17	1.82291905507259e-14	50.3650846332559
"248709"	"NC_047559.1"	25030428	25030428	"+"	4.1007617966568e-18	3.66553666885208e-15	-50.8371888081075
"251779"	"NC_047559.1"	25252351	25252351	"+"	2.11990473955497e-08	1.88884377164369e-06	51.4705882352941
"253743"	"NC_047559.1"	25482093	25482093	"+"	6.94174486264658e-20	8.72473203360622e-17	59.6767676767677
"255840"	"NC_047559.1"	25663304	25663304	"+"	7.23709105815318e-18	6.15550105164174e-15	-57.3529411764706
"258769"	"NC_047559.1"	25952463	25952463	"+"	4.32166792604017e-14	1.60487919813808e-11	53.9000241487563
"259881"	"NC_047559.1"	26047862	26047862	"+"	6.22326765128355e-25	1.98161349105378e-21	72.9123711340206
"260821"	"NC_047559.1"	26160074	26160074	"+"	1.36432080849764e-11	2.83508424928731e-09	-52.2094926350245
"261031"	"NC_047559.1"	26186945	26186945	"+"	2.73013485775238e-08	2.35789010562988e-06	-51.9023986765922
"261176"	"NC_047559.1"	26203719	26203719	"+"	2.33850508952423e-08	2.05938898155161e-06	-51.9296740994854
"262031"	"NC_047559.1"	26279198	26279198	"+"	1.77983220413678e-15	8.99855970838925e-13	-57.9949874686717
"263329"	"NC_047559.1"	26390051	26390051	"+"	5.26230635907128e-13	1.52809525238457e-10	-58.1503378378378
"263354"	"NC_047559.1"	26392135	26392135	"+"	2.10781935114149e-11	4.17472557237001e-09	-51.2121212121212
"263657"	"NC_047559.1"	26422948	26422948	"+"	4.68884062153455e-15	2.15281458502934e-12	-76.3644773358002
"263658"	"NC_047559.1"	26422954	26422954	"+"	1.08596546542427e-16	7.20316129741941e-14	-69.4069431051109
"263880"	"NC_047559.1"	26455079	26455079	"+"	1.08752855301623e-09	1.38728116726109e-07	54.0579710144927
"264698"	"NC_047559.1"	26508473	26508473	"+"	1.14460787783864e-18	1.13380399752821e-15	58.3954708644021
"264708"	"NC_047559.1"	26511155	26511155	"+"	2.42377917894701e-13	7.6261109964722e-11	-59.2411260709914
"264722"	"NC_047559.1"	26514056	26514056	"+"	4.48049113768256e-09	4.81475370757017e-07	-54.3956043956044
"264734"	"NC_047559.1"	26517197	26517197	"+"	1.02602938029569e-11	2.20031312779083e-09	58.8084232152029
"266614"	"NC_047559.1"	26674254	26674254	"+"	7.48533570061562e-16	4.11978043358488e-13	-52.658371040724
"266643"	"NC_047559.1"	26678667	26678667	"+"	8.01938095364458e-21	1.19543513187696e-17	-50.8403361344538
"266713"	"NC_047559.1"	26687065	26687065	"+"	9.12834668078307e-16	4.92530655218293e-13	53.033764914953
"266813"	"NC_047559.1"	26704128	26704128	"+"	1.16425563311351e-10	1.91175503792638e-08	-52.0861015147489
"267386"	"NC_047559.1"	26778068	26778068	"+"	1.67596577395708e-14	6.83688789624531e-12	-58.1343131251276
"268226"	"NC_047559.1"	26856096	26856096	"+"	3.50014107383065e-09	3.87451307206148e-07	-54.2765502494654
"268227"	"NC_047559.1"	26856100	26856100	"+"	1.08386459229154e-11	2.311256012517e-09	-54.5454545454545
"268229"	"NC_047559.1"	26856125	26856125	"+"	9.70956803461291e-15	4.16649005538708e-12	-69.3249607535322
"268230"	"NC_047559.1"	26856156	26856156	"+"	6.82156146942798e-16	3.78459336257361e-13	-59.5788043478261
"268231"	"NC_047559.1"	26856186	26856186	"+"	4.0779212085556e-23	9.14102624737894e-20	-58.8235294117647
"268232"	"NC_047559.1"	26856256	26856256	"+"	9.21375917675184e-20	1.13134709160791e-16	-57.4640484706913
"268234"	"NC_047559.1"	26856696	26856696	"+"	4.46293141618332e-19	4.79914884632269e-16	-58.5676913015043
"268235"	"NC_047559.1"	26856721	26856721	"+"	9.28532157066603e-18	7.73046603356651e-15	-55.7231104651163
"268237"	"NC_047559.1"	26856762	26856762	"+"	1.80827858967856e-15	9.13194139727604e-13	-52.1303258145363
"268263"	"NC_047559.1"	26863317	26863317	"+"	7.0267744713922e-19	7.25622359778944e-16	-57.3397780164697
"268264"	"NC_047559.1"	26863320	26863320	"+"	3.58161772336306e-19	3.92297582925564e-16	-57.2393029833044
"268294"	"NC_047559.1"	26870633	26870633	"+"	4.61793796439359e-18	4.08326083870364e-15	-50.8279516476238
"268295"	"NC_047559.1"	26870651	26870651	"+"	9.47281344694911e-21	1.39656272510603e-17	-52.9676021351937
"268296"	"NC_047559.1"	26870689	26870689	"+"	1.44216258687015e-23	3.53770173414369e-20	-61.3551242764726
"268368"	"NC_047559.1"	26912258	26912258	"+"	4.87628066684461e-17	3.48981926659991e-14	-68.6544342507645
"269735"	"NC_047559.1"	27137948	27137948	"+"	3.36523508689244e-14	1.28177293662778e-11	-57.1842927264614
"269738"	"NC_047559.1"	27138776	27138776	"+"	5.37644954678670e-09	5.65876387960279e-07	50.7936507936508
"270366"	"NC_047559.1"	27217419	27217419	"+"	7.92364983674504e-14	2.77519444878445e-11	55.8833860203723
"270372"	"NC_047559.1"	27217692	27217692	"+"	1.43980153075273e-16	9.26933568769885e-14	62.5898156825992
"270374"	"NC_047559.1"	27217726	27217726	"+"	5.11720041564805e-20	6.56018441150275e-17	58.030460366909
"270376"	"NC_047559.1"	27217770	27217770	"+"	2.81876490919696e-09	3.20027438637229e-07	54.3340380549683
"270771"	"NC_047559.1"	27265786	27265786	"+"	9.89822500578411e-12	2.13107680104229e-09	50.9455456823878
"270772"	"NC_047559.1"	27265852	27265852	"+"	2.00309599860944e-14	8.02409515119025e-12	56.3520509757069
"276150"	"NC_047559.1"	27969951	27969951	"+"	3.44462991319379e-15	1.63274023755571e-12	-51.9803600654664
"276238"	"NC_047559.1"	27989099	27989099	"+"	2.68771804126997e-11	5.18398132861678e-09	-51.5479876160991
"277471"	"NC_047559.1"	28177063	28177063	"+"	1.06499555938679e-20	1.55148916211286e-17	54.8002385211688
"277508"	"NC_047559.1"	28180351	28180351	"+"	1.35871489876641e-23	3.34863998945933e-20	-64.3697478991597
"280107"	"NC_047559.1"	28462092	28462092	"+"	5.81623753399848e-17	4.10211706899713e-14	-56.5467771266923
"284407"	"NC_047559.1"	29008039	29008039	"+"	4.61480028845908e-14	1.70429135178898e-11	-50.3252927634871
"284678"	"NC_047559.1"	29044692	29044692	"+"	1.20293501977016e-17	9.80901059942559e-15	-52.5335320417288
"284679"	"NC_047559.1"	29044695	29044695	"+"	1.99908602513505e-24	5.81495100562322e-21	-62.7222982216142
"289590"	"NC_047559.1"	29394290	29394290	"+"	2.61739895406998e-15	1.27324861939934e-12	-50.4273504273504
"289757"	"NC_047559.1"	29416114	29416114	"+"	8.87956205041743e-13	2.44128903822261e-10	55.9652029826015
"289760"	"NC_047559.1"	29416738	29416738	"+"	4.42686335719687e-08	3.60087089499243e-06	60.3663003663004
"290158"	"NC_047559.1"	29455178	29455178	"+"	3.73771779594488e-15	1.75566954213091e-12	-50.1842027704097
"291905"	"NC_047559.1"	29671822	29671822	"+"	2.37048801805235e-12	5.89702747187568e-10	-52.293453110113
"292317"	"NC_047559.1"	29724107	29724107	"+"	2.84906004021318e-09	3.23027503289827e-07	51.9047619047619
"293579"	"NC_047559.1"	29949371	29949371	"+"	1.16566804884974e-11	2.46525172610898e-09	-51.374269005848
"296438"	"NC_047559.1"	30195512	30195512	"+"	1.0495832033527e-19	1.27391725518449e-16	52.4015110631409
"300067"	"NC_047559.1"	30531246	30531246	"+"	2.62080423393263e-15	1.27462475337163e-12	-50.9090909090909
"300090"	"NC_047559.1"	30533134	30533134	"+"	3.61946308746975e-16	2.13530224918428e-13	53.3759929390997
"301280"	"NC_047559.1"	30620839	30620839	"+"	4.40373993210151e-20	5.7100861461824e-17	53.0952380952381
"301735"	"NC_047559.1"	30678884	30678884	"+"	2.31795873287073e-20	3.17104723868756e-17	-53.7493658041603
"301741"	"NC_047559.1"	30679764	30679764	"+"	1.90173923921059e-08	1.71686987221756e-06	-52.4561403508772
"301829"	"NC_047559.1"	30690358	30690358	"+"	3.30217685889324e-09	3.68080091019685e-07	-50.7721549061535
"301948"	"NC_047559.1"	30699537	30699537	"+"	6.69886124575951e-13	1.89510636881749e-10	52.1978021978022
"303718"	"NC_047559.1"	30922758	30922758	"+"	7.29329194823268e-18	6.195828484175e-15	58.3029935275081
"303719"	"NC_047559.1"	30923701	30923701	"+"	9.90345862215317e-19	9.9323272074393e-16	62.7598566308244
"313501"	"NC_047559.1"	31894092	31894092	"+"	1.19016851945403e-15	6.26958428708723e-13	-50.2316286674539
"313774"	"NC_047559.1"	31917376	31917376	"+"	5.04798235342568e-22	9.32602120158996e-19	-54.1871921182266
"331143"	"NC_047559.1"	33408767	33408767	"+"	6.34920247843217e-10	8.61980566325327e-08	50.5807200929152
"340338"	"NC_047559.1"	34560506	34560506	"+"	8.11957006499651e-17	5.53423983511451e-14	50.9909647333139
"346169"	"NC_047559.1"	35223484	35223484	"+"	6.32435319115282e-18	5.44408292944561e-15	-62.1091679915209
"365635"	"NC_047559.1"	36892350	36892350	"+"	2.77659676651583e-14	1.07856010121771e-11	55.1169590643275
"365636"	"NC_047559.1"	36892386	36892386	"+"	2.29261976246062e-15	1.1300484929081e-12	62.6039783001808
"365637"	"NC_047559.1"	36892398	36892398	"+"	3.02970607940963e-22	5.78331943931534e-19	71.8264014466546
"365638"	"NC_047559.1"	36892629	36892629	"+"	1.51204915316288e-11	3.10818664547804e-09	51.4930944382232
"365641"	"NC_047559.1"	36892781	36892781	"+"	9.17233502196744e-18	7.63990757124888e-15	58.8744588744589
"365642"	"NC_047559.1"	36892823	36892823	"+"	4.18843502400858e-20	5.44688074763977e-17	58.6307519640853
"365643"	"NC_047559.1"	36892840	36892840	"+"	1.88863500970365e-21	3.16433368562211e-18	58.4967320261438
"370556"	"NC_047559.1"	37232047	37232047	"+"	1.87951586833951e-15	9.45606465776349e-13	-58.9734697416334
"391543"	"NC_047559.1"	39414677	39414677	"+"	1.88844188957355e-15	9.49233428757518e-13	55.2136752136752
"391636"	"NC_047559.1"	39427384	39427384	"+"	5.74301667451796e-16	3.23738604182121e-13	-51.7812269031781
"402617"	"NC_047559.1"	40336658	40336658	"+"	4.393610732819e-12	1.02724025286255e-09	53.9043235245767
"403246"	"NC_047559.1"	40394517	40394517	"+"	3.22043491441549e-17	2.40113235862134e-14	-59.7963676389653
"405601"	"NC_047559.1"	40597041	40597041	"+"	6.55375267740423e-09	6.73990252540599e-07	-56.6053511705686
"405858"	"NC_047559.1"	40633090	40633090	"+"	6.58950396583801e-14	2.35092534978109e-11	56.4102564102564
"406707"	"NC_047559.1"	40708886	40708886	"+"	2.41224864612019e-13	7.59577555975235e-11	-50.193894799642
"413158"	"NC_047559.1"	41201567	41201567	"+"	8.52945480013281e-17	5.78597286846366e-14	-54.672268907563
"415446"	"NC_047559.1"	41389305	41389305	"+"	5.04487820988809e-25	1.62392762586391e-21	-56.9860602973186
"417164"	"NC_047559.1"	41517855	41517855	"+"	4.24712860185125e-16	2.46838825438175e-13	-56.0692640692641
"422016"	"NC_047559.1"	42262787	42262787	"+"	5.11001826650374e-23	1.12835100421081e-19	64.729381443299
"422018"	"NC_047559.1"	42262803	42262803	"+"	5.79145827963259e-14	2.09236898275266e-11	53.2531824611033
"422019"	"NC_047559.1"	42262839	42262839	"+"	4.26080896000945e-16	2.47601377721715e-13	57.1807101218866
"422020"	"NC_047559.1"	42262853	42262853	"+"	1.33051697234047e-13	4.42790357057515e-11	53.4362934362934
"422026"	"NC_047559.1"	42263121	42263121	"+"	9.94043102808293e-11	1.6618819346376e-08	52.3587223587224
"422045"	"NC_047559.1"	42264983	42264983	"+"	9.95412954385588e-17	6.65758815054818e-14	55.4545454545455
"422046"	"NC_047559.1"	42264986	42264986	"+"	1.94850543148529e-14	7.82739081326065e-12	50.8120035304501
"422062"	"NC_047559.1"	42265541	42265541	"+"	1.81176734501805e-10	2.83562211517039e-08	51.4536849222448
"422065"	"NC_047559.1"	42265655	42265655	"+"	6.00529251759198e-13	1.71701719230636e-10	59.2517694641052
"423454"	"NC_047559.1"	42376346	42376346	"+"	2.16608118683577e-16	1.34599429272958e-13	-58.7474120082816
"423455"	"NC_047559.1"	42376362	42376362	"+"	1.55785296931766e-17	1.23679016884757e-14	-58.7656529516995
"423456"	"NC_047559.1"	42376364	42376364	"+"	1.86757346584291e-19	2.15722301494811e-16	-62.0512820512821
"423457"	"NC_047559.1"	42376369	42376369	"+"	3.17089779644249e-19	3.51553390724277e-16	-61.931936086325
"423463"	"NC_047559.1"	42377203	42377203	"+"	7.14246988749737e-24	1.85605815137836e-20	-52.7980535279805
"423466"	"NC_047559.1"	42377395	42377395	"+"	2.04675953276741e-29	1.44378324456349e-25	-56.1550151975684
"423467"	"NC_047559.1"	42377412	42377412	"+"	2.20886449784471e-24	6.36448711615075e-21	-50.7792713812585
"423470"	"NC_047559.1"	42377479	42377479	"+"	1.92005509787167e-28	1.12181315466508e-24	-58.3491161616162
"423471"	"NC_047559.1"	42377492	42377492	"+"	6.48536228440625e-24	1.6982722314404e-20	-55.1638176638177
"423472"	"NC_047559.1"	42377502	42377502	"+"	4.1393076516523e-27	1.91301548284393e-23	-55.2649596056415
"424084"	"NC_047559.1"	42445424	42445424	"+"	1.22289820971154e-09	1.53765505233869e-07	-55.0681289464939
"426011"	"NC_047559.1"	42616234	42616234	"+"	1.0084076059871e-19	1.22836726018731e-16	-63.5393258426966
"429941"	"NC_047559.1"	42959807	42959807	"+"	7.97231341210807e-18	6.72138533058245e-15	-67.1557971014493
